                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.0979,                  1.025,                 1.8226,                0.99411,                 0.9928,                  0.995,                0.76894,                0.89988,                 1.0634,                 1.5919,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     87,                 1.0652,                 1.0404,                   1.84,                0.99051,                0.99828,                  0.995,                0.75772,                0.94287,                 1.0837,                 1.6315,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     88,                 1.0422,                 1.0391,                 1.8165,                0.99116,                      1,                  0.995,                0.78453,                 0.8749,                 1.0507,                 1.5788,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     89,                 1.0806,                 1.0051,                 1.8033,                0.98945,                      1,                  0.995,                0.77643,                0.88721,                 1.0398,                 1.5825,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     90,                  1.041,                 1.0128,                  1.797,                0.98842,                      1,                  0.995,                0.77618,                0.89553,                 1.0362,                 1.5879,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     91,                 1.0972,                 1.2141,                 1.7713,                 0.9872,                      1,                  0.995,                0.77203,                0.89595,                 1.0708,                 1.5819,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     92,                 1.0381,                 1.1868,                 1.7391,                0.99219,                      1,                  0.995,                0.76883,                0.92874,                 1.0797,                 1.5946,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     93,                 1.0159,                 1.1785,                 1.7198,                 0.9959,                      1,                  0.995,                0.78684,                0.88976,                 1.0384,                 1.5548,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     94,                 1.0231,                 1.1599,                 1.7436,                 0.9964,                      1,                  0.995,                0.78233,                0.87662,                 1.0364,                 1.5521,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     95,                 1.0234,                 1.1521,                 1.7212,                0.99448,                      1,                  0.995,                0.78371,                0.87647,                 1.0247,                  1.548,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     96,                 1.0166,                 1.1289,                 1.7074,                0.99315,                      1,                  0.995,                0.78599,                0.87713,                 1.0299,                 1.5436,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     97,                 1.0042,                 1.1563,                  1.701,                0.99374,                      1,                  0.995,                0.78647,                0.87493,                 1.0213,                 1.5424,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     98,                0.97237,                 1.1212,                  1.651,                  0.995,                      1,                  0.995,                0.78318,                0.88313,                 1.0338,                 1.5529,             4.7243e-06,             4.7243e-06,             4.7243e-06
                     99,                0.97196,                 1.1184,                  1.682,                0.99558,                      1,                  0.995,                0.78498,                0.88096,                 1.0282,                 1.5505,             3.5462e-06,             3.5462e-06,             3.5462e-06
                    100,                0.99964,                 1.1053,                 1.7082,                0.99579,                      1,                  0.995,                 0.7906,                0.87485,                 1.0163,                 1.5444,             2.3681e-06,             2.3681e-06,             2.3681e-06
